path,used_by,what_to_find,where_to_look,must_be_real
/images/act-snorkel-sealion.jpg,Galápagos: Out of Season,Sea lion underwater with snorkeller,Unsplash: 'sea lion underwater',no - representative stock is fine
/images/act-tigers-nest.jpg,Bhutan: The Long Valley,Taktsang monastery on the cliff,Unsplash: 'tigers nest bhutan',no - representative stock is fine
/images/act-tracking.jpg,Laikipia: The Private Plateau,Guide examining tracks on the ground,Unsplash: 'safari tracker',no - representative stock is fine
/images/act-turtle.jpg,Mnemba: After the Safari,Green turtle underwater,Unsplash: 'green sea turtle',no - representative stock is fine
/images/act-walking-safari.jpg,Luangwa: On Foot,Small group walking single file in bush,Unsplash: 'walking safari',no - representative stock is fine
/images/act-walrus.jpg,Svalbard: Latitude 79,Walrus haul-out,Unsplash: 'walrus',no - representative stock is fine
/images/act-wildebeest.jpg,Serengeti: The Calving Ground,Wildebeest herd on short grass,Unsplash: 'wildebeest migration',no - representative stock is fine
/images/act-zodiac.jpg,Svalbard: Latitude 79,Zodiac inflatable among ice,Unsplash: 'zodiac arctic',no - representative stock is fine
/images/step-airstrip.jpg,Serengeti: The Calving Ground,"Grass or gravel airstrip, wide horizon",Unsplash: 'dirt airstrip',no - representative stock is fine
/images/step-banda-interior.jpg,Mnemba: After the Safari,Simple luxurious room open to the sea,Unsplash: 'beach villa interior',YES - must be the actual property
/images/step-beach-banda.jpg,Mnemba: After the Safari,Thatched open-sided beach room,Unsplash: 'zanzibar banda' / 'beach bungalow',YES - must be the actual property
/images/step-boat-transfer.jpg,Mnemba: After the Safari,Small boat crossing turquoise water,Unsplash: 'boat transfer island',no - representative stock is fine
/images/step-bush-camp.jpg,Luangwa: On Foot; Okavango: Water Season,Thatched bush camp among trees,Unsplash: 'bush camp africa',YES - must be the actual property
/images/step-bush-plane.jpg,Laikipia: The Private Plateau; Okavango: Water Season; Serengeti: The Calving Ground; Skeleton Coast: Fog and Bone,Single-engine Cessna on a dirt strip,Unsplash: 'bush plane africa' / 'safari airstrip',no - representative stock is fine
/images/step-camp-deck.jpg,Okavango: Water Season,Wooden deck over a floodplain at dusk,Unsplash: 'safari lodge deck',YES - must be the actual property
/images/step-camp-interior.jpg,Luangwa: On Foot; Serengeti: The Calving Ground; Skeleton Coast: Fog and Bone,"Tent interior, bed with mosquito net",Unsplash: 'safari tent interior',YES - must be the actual property
/images/step-city-hotel.jpg,Galápagos: Out of Season; Svalbard: Latitude 79,Understated city hotel room,Unsplash: 'boutique hotel room',YES - must be the actual property
/images/step-coast-aerial.jpg,Skeleton Coast: Fog and Bone,Aerial of desert meeting ocean,Unsplash: 'skeleton coast' / 'desert coastline aerial',no - representative stock is fine
/images/step-conservancy-house.jpg,Laikipia: The Private Plateau,"Colonial-style ranch house, open lawn",Unsplash: 'kenya safari house',YES - must be the actual property
/images/step-delta-aerial.jpg,Okavango: Water Season,Aerial of braided waterways and islands,Unsplash: 'okavango aerial' / 'wetland from above',no - representative stock is fine
/images/step-desert-camp.jpg,Skeleton Coast: Fog and Bone,Isolated camp in dunes or gravel plain,Unsplash: 'desert camp namibia',YES - must be the actual property
/images/step-documents.jpg,Bhutan: The Long Valley; Virunga: Eight Families,"Passport and papers, flat lay",Unsplash: 'passport documents',no - representative stock is fine
/images/step-expedition-ship.jpg,Svalbard: Latitude 79,Small ice-class expedition vessel,Unsplash: 'expedition ship arctic',YES - must be the actual property
/images/step-flight-international.jpg,Galápagos: Out of Season; Serengeti: The Calving Ground; Skeleton Coast: Fog and Bone; Svalbard: Latitude 79; Virunga: Eight Families,Wide-body cabin or aircraft on stand at dusk,Unsplash: 'airplane window' / 'airport tarmac',no - representative stock is fine
/images/step-flight-mountain.jpg,Bhutan: The Long Valley,Aircraft approaching between mountains,Unsplash: 'mountain airport approach',no - representative stock is fine
/images/step-flight-regional.jpg,Galápagos: Out of Season; Luangwa: On Foot; Mnemba: After the Safari; Okavango: Water Season; Svalbard: Latitude 79,Small regional jet or turboprop,Unsplash: 'turboprop' / 'regional aircraft',no - representative stock is fine
/images/step-forest-lodge.jpg,Virunga: Eight Families,"Lodge at forest edge, volcanic backdrop",Unsplash: 'rwanda lodge' / 'forest lodge',YES - must be the actual property
/images/step-game-vehicle.jpg,Luangwa: On Foot,Open safari vehicle on a track,Unsplash: 'safari vehicle',no - representative stock is fine
/images/step-house-interior.jpg,Laikipia: The Private Plateau,"Comfortable lodge sitting room, fireplace",Unsplash: 'lodge interior',YES - must be the actual property
/images/step-lodge-interior.jpg,Bhutan: The Long Valley; Virunga: Eight Families,Room with fireplace and mountain view,Unsplash: 'lodge bedroom fireplace',YES - must be the actual property
/images/step-mobile-camp.jpg,Serengeti: The Calving Ground,"Canvas tents under acacia, no fence",Unsplash: 'safari tented camp',YES - must be the actual property
/images/step-mountain-lodge.jpg,Bhutan: The Long Valley,"Himalayan lodge, timber and stone",Unsplash: 'bhutan lodge' / 'himalayan hotel',YES - must be the actual property
/images/step-mountain-road.jpg,Bhutan: The Long Valley,Winding pass road with prayer flags,Unsplash: 'bhutan mountain road',no - representative stock is fine
/images/step-road-transfer.jpg,Virunga: Eight Families,Road through terraced green hills,Unsplash: 'rwanda hills road',no - representative stock is fine
/images/step-ship-cabin.jpg,Svalbard: Latitude 79,Ship cabin with porthole,Unsplash: 'ship cabin',YES - must be the actual property
/images/step-water-camp.jpg,Okavango: Water Season,Raised camp on stilts over water,Unsplash: 'delta water camp',YES - must be the actual property
/images/step-yacht-cabin.jpg,Galápagos: Out of Season,Yacht cabin interior,Unsplash: 'yacht cabin',YES - must be the actual property
/images/step-yacht.jpg,Galápagos: Out of Season,Small motor yacht at anchor,Unsplash: 'small yacht galapagos',YES - must be the actual property
/images/tour-bhutan-valley.jpg,Bhutan: The Long Valley,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-galapagos-yacht.jpg,Galápagos: Out of Season,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-laikipia-plateau.jpg,Laikipia: The Private Plateau,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-luangwa-walking.jpg,Luangwa: On Foot,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-mnemba-island.jpg,Mnemba: After the Safari,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-okavango-water.jpg,Okavango: Water Season,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-serengeti-calving.jpg,Serengeti: The Calving Ground,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-skeleton-coast.jpg,Skeleton Coast: Fog and Bone,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-svalbard-ice.jpg,Svalbard: Latitude 79,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
/images/tour-virunga-gorillas.jpg,Virunga: Eight Families,Signature landscape for this tour,Unsplash / Pexels — search the location,no - representative stock is fine
