slug,name,country,location,summary,description,coverImage,images,classification,featured,visitDuration,priceFrom,hotelsAvailable,stayNote,isActive,displayOrder
louvre-abu-dhabi,Louvre Abu Dhabi,United Arab Emirates,Abu Dhabi,"Jean Nouvel's museum beneath a lace-like dome, telling a shared story of world art.","Opened in November 2017 on Saadiyat Island, Louvre Abu Dhabi was designed by Jean Nouvel as a cluster of white galleries under a vast dome, 180 metres across. Light filters through its layered pattern of stars, creating what the architect called a 'rain of light' on the walkways and water below.

Rather than dividing art by country, the galleries follow humanity chronologically, placing works from different civilisations side by side. Loans from French museums join the museum's own collection. Leave time to sit by the water at the edge of the plaza.",/images/world/attractions/louvre-abu-dhabi.jpg,,standard,false,2-3 hours,,true,"Stay at a beach resort on Saadiyat Island, minutes away",true,19
hegra,Hegra (Al-Hijr),Saudi Arabia,AlUla,"Nabataean tombs carved into sandstone outcrops, Saudi Arabia's first UNESCO World Heritage Site.","Hegra was the southern city of the Nabataeans, the traders who built Petra. Between the 1st century BC and the 1st century AD they carved more than a hundred monumental tombs into the sandstone outcrops here, many with decorated façades and inscriptions. In 2008 it became Saudi Arabia's first UNESCO World Heritage Site.

The best-known tomb, Qasr al-Farid, stands alone in a single rock and was never finished, so its upper carving is complete while the lower part is still rough. The desert around the tombs is quiet, open and wide. Visits are by guided tour only.",/images/world/attractions/hegra.jpg,,exclusive,true,Half day,,true,"Stay at a resort in AlUla, about 30-40 minutes away",true,3
elephant-rock-alula,Elephant Rock (Jabal AlFil),Saudi Arabia,AlUla,"A towering sandstone arch shaped like an elephant, with sunken seating to watch the stars come out.","Wind and water have worn this sandstone outcrop into the clear shape of an elephant, its trunk reaching down to the sand. It stands roughly 50 metres high in a wide, flat valley north-east of AlUla town.

At its base, low seating is set into pits in the sand, softly lit after dark, with a café nearby. It is a peaceful place to watch the rock turn orange at sunset and the stars appear over the desert. Pair it with an evening in AlUla Old Town, a restored mud-brick village.",/images/world/attractions/elephant-rock-alula.jpg,,standard,false,1-2 hours,,false,"Stay in AlUla, about 20 minutes by car",true,20
at-turaif-diriyah,"At-Turaif, Diriyah",Saudi Arabia,Riyadh,"The restored mud-brick seat of the first Saudi state, beside the palms of Wadi Hanifa.","Diriyah, on the edge of modern Riyadh, was the capital of the first Saudi state in the 18th century. Its citadel district, At-Turaif, was destroyed in 1818 by Ottoman-Egyptian forces and left in ruins. Carefully restored, it was listed as a UNESCO World Heritage Site in 2010.

Walk among palaces, mosques and houses built in the Najdi style, from mud brick with triangular openings and crenellated rooftops. The Salwa Palace complex was the seat of power. Across the wadi, Bujairi Terrace offers fine dining with a view of the walls.",/images/world/attractions/at-turaif-diriyah.jpg,,standard,false,Half day,,true,"Stay in Riyadh, about 30 minutes away, or at a hotel in Diriyah",true,21
edge-of-the-world,Edge of the World (Jebel Fihrayn),Saudi Arabia,Riyadh,"Sheer cliffs of the Tuwaiq escarpment plunging to an ancient seabed, north-west of Riyadh.","The Tuwaiq escarpment runs for hundreds of kilometres across central Arabia. At Jebel Fihrayn, its limestone cliffs drop several hundred metres to a flat plain that was once the floor of an ancient sea. From the rim the view seems to reach the horizon.

The final approach is a rough desert track, so the journey is part of the experience. Walk along the rim trails, look for marine fossils in the rock, and stay for sunset, when the cliffs glow and the plain fills with shadow. There are no barriers, so take care near the edge.",/images/world/attractions/edge-of-the-world.jpg,,standard,false,Half day,,false,Stay in Riyadh; the drive takes about 2 hours each way,true,22
red-sea-islands,Red Sea Islands,Saudi Arabia,Red Sea Coast,"Coral reefs, turquoise lagoons and new island resorts on Saudi Arabia's quiet western coast.","Along Saudi Arabia's western coast, the Red Sea destination spans a lagoon of more than 90 islands, sandbanks and coral reefs, with desert and volcanic hills inland. Only a few resorts have been built, with strict limits on development to protect the reefs.

The water is clear and warm for most of the year. Snorkellers and divers see reef fish, turtles and healthy coral, and boats go out to sandbanks for private picnics. Resorts here include island villas over the water and a desert retreat among the dunes. At night, with almost no light pollution, the stars are remarkably bright.",/images/world/attractions/red-sea-islands.jpg,,standard,false,3-4 days,,true,"Stay at one of the island or desert resorts, with transfers arranged",true,23
petronas-twin-towers,Petronas Twin Towers,Malaysia,Kuala Lumpur,"Twin steel towers linked by a skybridge, once the tallest buildings in the world.","Completed in 1998, the Petronas Twin Towers rise 452 metres over Kuala Lumpur and were the world's tallest buildings until 2004. Architect César Pelli based their floor plan on an eight-pointed star, a motif from Islamic art, and clad them in stainless steel and glass.

Timed tours cross the double-decker Skybridge linking the towers at levels 41 and 42, then rise to an observation deck on level 86. Below, the landscaped KLCC Park has a lake and walking paths. In the evening the towers are lit silver against the sky.",/images/world/attractions/petronas-twin-towers.jpg,,special,true,2-3 hours,,true,"Stay in KLCC, with hotels overlooking the towers",true,10
batu-caves,Batu Caves,Malaysia,Kuala Lumpur,"A limestone hill of Hindu cave temples, reached by a rainbow staircase beneath a giant golden statue.","Just north of Kuala Lumpur, a limestone hill holds a series of caves that have been a Hindu shrine since the late 19th century. A golden statue of Lord Murugan, about 43 metres tall and unveiled in 2006, stands at the foot of the 272 steps, painted in bright colours in 2018.

At the top, the Temple Cave opens into a high chamber lit by daylight from openings in the roof. Long-tailed macaques wander the stairs. During Thaipusam, in January or February, hundreds of thousands of devotees climb the steps in procession.",/images/world/attractions/batu-caves.jpg,,standard,false,2 hours,,false,"Stay in central Kuala Lumpur, about 30 minutes away",true,24
kilim-karst-geoforest-park,Kilim Karst Geoforest Park,Malaysia,Langkawi,"Mangrove rivers winding between ancient limestone cliffs, with eagles circling overhead.","On Langkawi's north-east coast, the Kilim river runs through dense mangrove forest and between limestone cliffs hundreds of millions of years old. It is a core part of the Langkawi UNESCO Global Geopark, listed in 2007.

Small boats follow the channels to a bat cave, fish farms on stilts and the open sea. Brahminy kites and white-bellied sea eagles are often seen. Quieter still is a guided kayak trip through the smaller creeks, where monitor lizards and crab-eating macaques live among the mangrove roots. In the late afternoon, eagles gather over the river as boats return to the jetty.",/images/world/attractions/kilim-karst-geoforest-park.jpg,,standard,false,Half day,,true,"Stay at Tanjung Rhu, a short drive from the jetty",true,25
george-town-penang,George Town Heritage Quarter,Malaysia,George Town,"Shophouses, clan temples and street art in a UNESCO-listed port, with some of Asia's best street food.","Founded by the British East India Company in 1786, George Town grew into a busy port where Malay, Chinese, Indian and European communities lived side by side. Its historic centre was listed by UNESCO in 2008, jointly with Melaka.

Walk past two-storey shophouses to the richly carved Khoo Kongsi clan house and the indigo Cheong Fatt Tze Mansion. Murals by artist Ernest Zacharevic, painted in 2012, appear on corners throughout the quarter. In the evening, hawker stalls serve char kway teow, assam laksa and nasi kandar. Little India, a few streets away, is lively with spice shops and music.",/images/world/attractions/george-town-penang.jpg,,standard,false,Full day,,true,Stay within the heritage quarter or at the colonial-era Eastern & Oriental Hotel,true,26
cameron-highlands-tea,Cameron Highlands Tea Estates,Malaysia,Cameron Highlands,Rolling tea plantations and misty cloud forest in a cool colonial-era hill station.,"Surveyed by William Cameron in 1885, the highlands became a hill station for escaping the lowland heat. At around 1,500 metres, days are mild and nights cool. Tea bushes cover the slopes in neat, rounded rows; the BOH estate at Sungei Palas has a tea room with views over the valley.

Higher up, on Gunung Brinchang, a boardwalk winds through the Mossy Forest, where trees are draped in moss, ferns and pitcher plants. Mock-Tudor hotels and strawberry farms add to the old-fashioned charm. Early mornings often bring mist drifting across the valleys, lifting slowly as the sun climbs.",/images/world/attractions/cameron-highlands-tea.jpg,,standard,false,2 days,,true,Stay in a heritage hotel near Tanah Rata,true,27
grand-palace-wat-phra-kaew,Grand Palace and Wat Phra Kaew,Thailand,Bangkok,"Gilded royal halls and the temple of the Emerald Buddha, Thailand's most sacred image.","The Grand Palace was founded in 1782 by King Rama I when he moved the capital to Bangkok. Behind its white walls, halls in Thai and European styles stand among gilded spires, mosaic-covered chedis and statues of mythical guardians.

Within the grounds, Wat Phra Kaew houses the Emerald Buddha, a small figure carved from green stone and seated high on a golden altar. Its robes are changed three times a year, with the seasons, in a royal ceremony. The palace is still used for state occasions, so parts may close at short notice.",/images/world/attractions/grand-palace-wat-phra-kaew.jpg,,standard,false,2-3 hours,,true,Stay at a riverside hotel on the Chao Phraya,true,28
wat-pho,Wat Pho,Thailand,Bangkok,A 46-metre reclining Buddha and Thailand's historic school of traditional massage.,"Just south of the Grand Palace, Wat Pho is one of Bangkok's oldest and largest temple complexes. Its reclining Buddha, 46 metres long and covered in gold leaf, depicts the Buddha's passing into nirvana. The soles of its feet are inlaid with mother-of-pearl in 108 auspicious symbols.

The grounds hold more than a thousand Buddha images and four large chedis honouring the first kings of the Chakri dynasty. Wat Pho is also regarded as the home of traditional Thai massage, and its school still offers treatments in the temple grounds.",/images/world/attractions/wat-pho.jpg,,standard,false,1-2 hours,,true,Boutique hotels line the riverfront nearby,true,29
wat-phra-that-doi-suthep,Wat Phra That Doi Suthep,Thailand,Chiang Mai,"A golden hilltop temple above Chiang Mai, reached by a staircase flanked by naga serpents.","Founded in the late 14th century, Wat Phra That Doi Suthep sits on the slopes of Doi Suthep mountain above Chiang Mai. Legend says a white elephant carried a relic of the Buddha up the mountain, stopped here and died, marking the spot for the temple.

A staircase of more than 300 steps, lined by long naga serpents, rises to a terrace around a gleaming golden chedi. Monks chant in the early morning and evening. On clear days the view extends across the city and valley below. A funicular offers an easier way up.",/images/world/attractions/wat-phra-that-doi-suthep.jpg,,standard,false,2-3 hours,,true,Stay in Chiang Mai's old city or at a resort in the Mae Rim valley,true,30
phang-nga-bay,Phang Nga Bay,Thailand,Phuket,"Limestone towers rising from emerald water, hidden lagoons and a village built on stilts.","Phang Nga Bay, a national park since 1981, is scattered with steep limestone islands rising from calm, shallow water. Many hide hongs, collapsed caves open to the sky, reached by canoe at the right tide through low sea tunnels.

The best-known islet, Khao Phing Kan, appeared in the 1974 James Bond film The Man with the Golden Gun. Nearby, Koh Panyee is a Muslim fishing village built on stilts beneath a cliff, where seafood lunches are served over the water. On a private boat, you can visit the quieter corners of the bay.",/images/world/attractions/phang-nga-bay.jpg,,standard,false,Full day,,true,Stay on Phuket's east coast or at a villa resort overlooking the bay,true,31
railay-krabi,Railay Peninsula,Thailand,Krabi,"Beaches cut off by limestone cliffs, reachable only by boat, with caves, lagoons and climbing routes.","Railay is a small peninsula on the Krabi coast, cut off from the mainland by high limestone cliffs, so it can only be reached by boat. Its beaches of fine sand look out onto islands and sheer rock walls.

Phra Nang beach, on the southern tip, has a cave shrine and some of the clearest water in the area. The cliffs are one of Thailand's best-known rock-climbing areas, with routes for beginners and experts. A steep scramble leads to a viewpoint and a hidden lagoon for the more adventurous. Once the day boats leave, the peninsula becomes calm and quiet again.",/images/world/attractions/railay-krabi.jpg,,standard,false,Full day,,true,"Stay on the peninsula itself, beside Phra Nang beach",true,32
tower-of-london,Tower of London,United Kingdom,London,"A royal fortress on the Thames for over 900 years, home to the Crown Jewels and the ravens.","William the Conqueror began the Tower after 1066, and the stone White Tower at its centre dates from the 1070s. Over the centuries it has been a royal palace, a prison, an armoury and a treasury. It is a UNESCO World Heritage Site.

The Crown Jewels, still used in coronations, are displayed in the Jewel House. Yeoman Warders, known as Beefeaters, lead lively tours, and at least six ravens are kept, as legend says the kingdom will fall if they leave. Every evening the Ceremony of the Keys locks the Tower, as it has for centuries.",/images/world/attractions/tower-of-london.jpg,,special,true,Half day,,true,"Stay in the City, with luxury hotels within a five-minute walk",true,9
british-museum,British Museum,United Kingdom,London,"Two million years of human history under one roof, from the Rosetta Stone to the Parthenon sculptures.","Founded in 1753, the British Museum was the first public national museum in the world. Its collection of around eight million objects spans every continent. The Great Court, covered by a glass roof designed by Foster and Partners in 2000, is the largest covered square in Europe.

Highlights include the Rosetta Stone, which helped unlock Egyptian hieroglyphs, the Parthenon sculptures and the Sutton Hoo treasure from Anglo-Saxon England. The Islamic galleries hold fine ceramics, metalwork and manuscripts. With so much to see, a focused route of a few galleries works best.",/images/world/attractions/british-museum.jpg,,standard,false,Half day,,true,"Stay in Bloomsbury or Covent Garden, a short walk away",true,33
edinburgh-castle-royal-mile,Edinburgh Castle and the Royal Mile,United Kingdom,Edinburgh,"A fortress on an extinct volcano, linked to a royal palace by the Old Town's historic spine.","Edinburgh Castle stands on Castle Rock, the plug of an extinct volcano, above the city. Inside, the Honours of Scotland, the oldest crown jewels in Britain, are on display. St Margaret's Chapel, built in the 12th century, is the oldest building in Edinburgh. Most days except Sunday, the One O'Clock Gun is fired from the battlements.

From the castle, the Royal Mile runs downhill through the Old Town to the Palace of Holyroodhouse, the monarch's official residence in Scotland. Narrow closes and courtyards branch off on either side, past St Giles' Cathedral.",/images/world/attractions/edinburgh-castle-royal-mile.jpg,,standard,false,Full day,,true,"Stay in the Old Town or on Princes Street, within walking distance",true,34
isle-of-skye,Isle of Skye,United Kingdom,Isle of Skye,"Jagged peaks, sea cliffs and ancient castles on Scotland's most dramatic island.","Skye is the largest island of the Inner Hebrides, joined to the mainland by the Skye Bridge since 1995. The black ridges of the Cuillin rise in the south. In the north, the Trotternish ridge has the pinnacle of the Old Man of Storr and the landslip scenery of the Quiraing.

The Fairy Pools are clear, blue pools beneath waterfalls in Glen Brittle. Dunvegan Castle has been the home of the chiefs of Clan MacLeod for about 800 years. The island also has an excellent food scene, built on local seafood.",/images/world/attractions/isle-of-skye.jpg,,standard,false,2-3 days,,true,Stay at a country-house hotel on the island,true,35
roman-baths-bath,The Roman Baths,United Kingdom,Bath,"A Roman bathing complex built around Britain's only natural hot springs, in the heart of Georgian Bath.","The Romans built a temple and bathing complex here in the 1st century AD, calling the town Aquae Sulis. The hot spring still produces over a million litres of water a day at around 46°C. The steaming Great Bath, lined with lead, sits below a Victorian terrace of statues.

The museum shows the temple's pediment, a gilt bronze head of the goddess Sulis Minerva and curse tablets asking the goddess for justice. Upstairs, the elegant Georgian Pump Room serves tea. For a modern soak, Thermae Bath Spa has a rooftop pool filled with spring water.",/images/world/attractions/roman-baths-bath.jpg,,standard,false,2-3 hours,,true,"Stay in central Bath, a short walk away",true,36
eiffel-tower,Eiffel Tower,France,Paris,"Gustave Eiffel's iron lattice tower of 1889, with Paris spread out below its three levels.","Built for the 1889 Exposition Universelle, the Eiffel Tower was meant to stand for only twenty years. It stayed, and at around 330 metres including its antennas it remains the defining shape of the Paris skyline. Lifts and stairs rise to two lower levels, and a separate lift climbs to the summit at 276 metres.

The views are best from the second floor, where monuments are still close enough to pick out. The tower is repainted by hand roughly every seven years. After dark it sparkles for five minutes at the start of each hour, a sight best watched from the Trocadéro across the river.",/images/world/attractions/eiffel-tower.jpg,,standard,false,2-3 hours,,true,"Stay in the 7th arrondissement, a short walk away",true,37
louvre-museum,Louvre Museum,France,Paris,"A former royal palace holding the Mona Lisa, the Venus de Milo and thousands of years of art.","The Louvre began as a medieval fortress, became a royal palace and opened as a public museum in 1793. It is now the most visited museum in the world, with galleries spread across three wings around courtyards on the Right Bank of the Seine. I. M. Pei's glass pyramid, opened in 1989, marks the main entrance.

Most visitors head straight for the Mona Lisa, the Venus de Milo and the Winged Victory of Samothrace on the Daru staircase. The quieter rooms are the reward: Napoleon III's apartments, the medieval moat foundations below the Sully wing, and the Egyptian collection. No one sees it all in a day, so choose two or three sections.",/images/world/attractions/louvre-museum.jpg,,standard,false,Half day,,true,"Stay near the Tuileries or Palais-Royal, a few minutes' walk",true,38
palace-of-versailles,Palace of Versailles,France,Versailles,"Louis XIV's palace and gardens, with the Hall of Mirrors and the Trianon estates.","Versailles began as a modest hunting lodge of Louis XIII. From 1661 Louis XIV transformed it, and in 1682 he moved the royal court and government here. The Hall of Mirrors, 73 metres long with 357 mirrors facing tall windows, is its showpiece, followed by the King's and Queen's State Apartments.

The formal gardens by André Le Nôtre stretch towards the Grand Canal, and on selected spring and summer days the fountains play to music. Further out lie the Grand and Petit Trianon and Marie-Antoinette's hamlet, a rustic village built for the queen. An electric cart or a bicycle makes the distances far easier.",/images/world/attractions/palace-of-versailles.jpg,,standard,false,Full day,,true,"Airelles Château de Versailles, Le Grand Contrôle, sits within the palace grounds",true,39
mont-saint-michel,Mont-Saint-Michel,France,Normandy,"A Gothic abbey rising from a tidal island off the Normandy coast, cut off by some of Europe's strongest tides.","A monastery has stood on this granite island since the eighth century, and Benedictine monks settled here in 966. The abbey church crowns the summit, and the thirteenth-century Gothic buildings on the north side, known as La Merveille, are among the finest of their age. Below, a single village street winds up past ramparts and old houses.

The bay's tides are among the largest in Europe, rising and falling by up to about 14 metres. A bridge now links the island to the mainland, but on the highest tides the sea still surrounds it. Stay overnight to walk the ramparts after the day visitors leave and see the abbey lit against the dark.",/images/world/attractions/mont-saint-michel.jpg,,special,true,Full day,,true,"Small hotels on the island, or on the mainland at La Caserne, a shuttle ride away",true,4
eze-village,Èze Village,France,French Riviera,"A medieval hilltop village high above the Mediterranean, between Nice and Monaco.","Èze clings to a rocky peak about 430 metres above the sea, its stone lanes too narrow for cars. The village grew around a medieval castle, and the ruins at the top now hold an exotic garden of cacti and succulents with one of the widest views on the Riviera, reaching along the coast and, on clear days, towards Corsica.

Below the village, the Nietzsche Path zigzags down to Èze-sur-Mer by the water. The philosopher is said to have composed part of Thus Spoke Zarathustra while walking it. Two celebrated hotels, the Château de la Chèvre d'Or and Château Eza, are built into the village itself, with terraces facing the sea.",/images/world/attractions/eze-village.jpg,,standard,false,Half day,,true,"Château de la Chèvre d'Or or Château Eza, within the village walls",true,40
colosseum,Colosseum,Italy,Rome,"Rome's great amphitheatre, opened in 80 AD, with its arena and underground passages.","The Flavian Amphitheatre, known as the Colosseum, was begun under Emperor Vespasian around 70 AD and opened by his son Titus in 80 AD with a hundred days of games. It held around 50,000 spectators, who entered through numbered arches and were shaded by vast awnings. Its oval measures roughly 189 by 156 metres.

Today you walk the stands and look down into the hypogeum, the maze of tunnels and lifts that raised animals and scenery into the arena. Special tickets take you onto the reconstructed arena floor and into those underground passages. The same ticket usually covers the Roman Forum and Palatine Hill next door.",/images/world/attractions/colosseum.jpg,,exclusive,true,Half day,,true,"Stay in Monti or near the Forum, a short walk away",true,5
vatican-museums-sistine-chapel,Vatican Museums and Sistine Chapel,Italy,Rome,"Papal collections spanning antiquity to the Renaissance, ending beneath Michelangelo's Sistine ceiling.","The Vatican Museums trace their origins to Pope Julius II, who displayed classical sculpture here in the early sixteenth century. The collections now fill long galleries of tapestries, maps and statues, including the Laocoön group, before reaching the Raphael Rooms, painted for the same pope.

The route ends in the Sistine Chapel. Michelangelo painted its ceiling between 1508 and 1512, and returned decades later for the Last Judgement on the altar wall. The chapel is a consecrated space: guards ask for silence and photography is not allowed. Technically the museums lie within Vatican City, an independent state entirely surrounded by Rome.",/images/world/attractions/vatican-museums-sistine-chapel.jpg,,standard,false,Half day,,true,"Stay in Prati, a ten-minute walk from the entrance",true,41
uffizi-gallery,Uffizi Gallery,Italy,Florence,"The Medici collection in Florence, home to Botticelli's Birth of Venus and Primavera.","Giorgio Vasari designed the Uffizi in 1560 as offices for Cosimo I de' Medici, which is where the name comes from. The Medici filled its upper corridors with art, and the last of the family left the collection to Florence in 1737 on condition it never leave the city.

The galleries run chronologically through Italian painting, from Giotto to Botticelli's Birth of Venus and Primavera, Leonardo, Michelangelo's Doni Tondo, Raphael and Caravaggio. Pause at the windows at the end of the corridor, which frame the Arno and the Ponte Vecchio. The Duomo, with Brunelleschi's dome, is ten minutes' walk away and pairs naturally with a visit.",/images/world/attractions/uffizi-gallery.jpg,,standard,false,3-4 hours,,true,"Stay by the Arno or near Piazza della Signoria, a few minutes' walk",true,42
venice-grand-canal-st-marks,Grand Canal and St Mark's Square,Italy,Venice,"Venice's great waterway of palazzi, ending at St Mark's Basilica and its golden mosaics.","The Grand Canal curves for nearly four kilometres through Venice in a reversed S, lined with Gothic and Renaissance palazzi that once belonged to merchant families. It is crossed by only four bridges, including the stone Rialto Bridge, completed in 1591. The best way to see it is simply to ride its length by vaporetto or water taxi.

At its mouth lies St Mark's Square, with the Doge's Palace and St Mark's Basilica, consecrated in the eleventh century and covered inside with gold-ground mosaics. The bronze horses on its terrace are replicas; the originals are kept inside. Step a few streets away from the square and the city becomes quiet very quickly.",/images/world/attractions/venice-grand-canal-st-marks.jpg,,standard,false,Full day,,true,"Stay on the Grand Canal, with many hotels a short boat ride from St Mark's",true,43
amalfi-coast,Amalfi Coast,Italy,Amalfi Coast,"Cliffside villages, lemon terraces and a legendary coast road between Positano, Amalfi and Ravello.","The Amalfi Coast runs for around 50 kilometres along the southern side of the Sorrento peninsula and has been a UNESCO World Heritage Site since 1997. Positano tumbles down to its beach in pastel tiers, Amalfi was once a powerful maritime republic, and Ravello sits high above both in quiet gardens.

In Ravello, Villa Rufolo's terraces host summer concerts, and Villa Cimbrone's Terrace of Infinity looks straight down to the sea. The coast road is narrow and slow, so boats are often the most pleasant way to move between villages. Look out for terraced lemon groves, which supply the local limoncello.",/images/world/attractions/amalfi-coast.jpg,,standard,false,2 days,,true,"Stay in Positano or Ravello, where the finest hotels face the sea",true,44
