name,country,description,image,displayOrder
Seville,Spain,"The capital of Andalusia, a city of orange trees, tiled courtyards and flamenco, with one of the largest Gothic cathedrals in the world.",/api/placeholder.svg?t=Seville&s=Spain,32
Madrid,Spain,"Spain's elegant capital, home to the royal palace, leafy Retiro Park and three great art museums within a short walk of each other.",/api/placeholder.svg?t=Madrid&s=Spain,33
Zermatt,Switzerland,"A car-free Alpine village at the foot of the Matterhorn, with chalets, fine hotels and railways and cable cars leading to high glaciers.",/api/placeholder.svg?t=Zermatt&s=Switzerland,34
Jungfrau Region,Switzerland,"The Bernese Oberland around Interlaken, Grindelwald and Wengen, overlooked by the Eiger, Mönch and Jungfrau and threaded with mountain railways.",/api/placeholder.svg?t=Jungfrau%20Region&s=Switzerland,35
Lucerne,Switzerland,"A graceful lakeside city in central Switzerland, with a medieval old town, painted façades and steamers crossing to the surrounding mountains.",/api/placeholder.svg?t=Lucerne&s=Switzerland,36
Athens,Greece,"Greece's capital, where the Acropolis rises above a busy modern city of neighbourhood tavernas, rooftop bars and excellent museums.",/api/placeholder.svg?t=Athens&s=Greece,37
Santorini,Greece,"A crescent-shaped volcanic island in the Cyclades, its white villages perched on cliffs above a flooded caldera.",/api/placeholder.svg?t=Santorini&s=Greece,38
Meteora,Greece,"A landscape of towering sandstone pillars above the town of Kalambaka in Thessaly, crowned by Eastern Orthodox monasteries.",/api/placeholder.svg?t=Meteora&s=Greece,39
Mykonos,Greece,"A lively Cycladic island of whitewashed lanes, windmills and beaches, and the departure point for boats to ancient Delos.",/api/placeholder.svg?t=Mykonos&s=Greece,40
Kyoto,Japan,"Japan's imperial capital for more than a thousand years, with around 1,600 Buddhist temples, hundreds of shrines, traditional wooden townhouses and refined gardens.",/api/placeholder.svg?t=Kyoto&s=Japan,41
Tokyo,Japan,"A vast, orderly metropolis where old temple districts and quiet gardens sit beside some of the world's most modern neighbourhoods.",/api/placeholder.svg?t=Tokyo&s=Japan,42
Hakone,Japan,"A hot-spring mountain area south-west of Tokyo, with volcanic valleys, a lake and, on clear days, views of Mount Fuji.",/api/placeholder.svg?t=Hakone&s=Japan,43
Bavarian Alps,Germany,"The southern edge of Bavaria, where lakes and meadows rise into the Alps. The villages of Schwangau and Hohenschwangau sit below King Ludwig II's castles.",/api/placeholder.svg?t=Bavarian%20Alps&s=Germany,44
Berlin,Germany,"Germany's capital, spread wide along the River Spree. Its museums, memorials and restored boulevards trace Prussian ambition, division by the Wall and reunification in 1990.",/api/placeholder.svg?t=Berlin&s=Germany,45
Rhine Valley,Germany,"The Upper Middle Rhine between Bingen and Koblenz, a steep gorge of vineyards, castles and wine villages. It has been a UNESCO World Heritage Site since 2002.",/api/placeholder.svg?t=Rhine%20Valley&s=Germany,46
Black Forest,Germany,"A wooded upland range in south-west Germany, stretching from Baden-Baden towards the Swiss border. Known for spa towns, walking trails, farmhouses and cuckoo clocks.",/api/placeholder.svg?t=Black%20Forest&s=Germany,47
Vienna,Austria,"Austria's capital and the former seat of the Habsburg Empire. Palaces, opera, museums and coffee houses fill a city that is walkable and quietly grand.",/api/placeholder.svg?t=Vienna&s=Austria,48
Salzburg,Austria,"A baroque city on the Salzach river, overlooked by a medieval fortress. Mozart's birthplace and host of the Salzburg Festival every summer.",/api/placeholder.svg?t=Salzburg&s=Austria,49
Hallstatt,Austria,"A small lakeside village in the Salzkammergut, pressed between the Hallstätter See and steep mountains. Salt has been mined here for thousands of years.",/api/placeholder.svg?t=Hallstatt&s=Austria,50
Lisbon,Portugal,"Portugal's capital, built across hills above the Tagus estuary. The riverside district of Belém holds the city's great monuments to the Age of Discovery.",/api/placeholder.svg?t=Lisbon&s=Portugal,51
Sintra,Portugal,"A hill town about 40 minutes west of Lisbon, where royal palaces and romantic estates sit in misty forest. Its cultural landscape is UNESCO-listed.",/api/placeholder.svg?t=Sintra&s=Portugal,52
Porto,Portugal,"Portugal's second city, stacked above the Douro river and linked to the port-wine lodges of Vila Nova de Gaia. The gateway to the Douro Valley wine region.",/api/placeholder.svg?t=Porto&s=Portugal,53
Algarve,Portugal,"Portugal's southern coast, facing the Atlantic. Golden limestone cliffs, sea caves and fishing towns run from Sagres in the west towards the Spanish border.",/api/placeholder.svg?t=Algarve&s=Portugal,54
Amsterdam,Netherlands,"The Dutch capital, arranged around a ring of 17th-century canals. Gabled merchants' houses, major museums and bicycles define its compact centre.",/api/placeholder.svg?t=Amsterdam&s=Netherlands,55
South Holland,Netherlands,"The province south-west of Amsterdam, covering bulb fields, polders and the cities of Rotterdam, The Hague and Leiden. Flat, green and threaded with waterways.",/api/placeholder.svg?t=South%20Holland&s=Netherlands,56
Dubrovnik,Croatia,"A walled city on Croatia's far southern coast. Its limestone streets, churches and fortifications have been UNESCO-listed since 1979.",/api/placeholder.svg?t=Dubrovnik&s=Croatia,57
Plitvice Lakes,Croatia,"Croatia's best-known national park, in the forested interior between Zagreb and Zadar. Terraced lakes are joined by waterfalls and wooden walkways.",/api/placeholder.svg?t=Plitvice%20Lakes&s=Croatia,58
Split,Croatia,"Dalmatia's largest city, grown up inside and around a Roman emperor's palace. The main ferry hub for the central Adriatic islands.",/api/placeholder.svg?t=Split&s=Croatia,59
Hvar,Croatia,"A long, sunny island off the Dalmatian coast. Known for its Venetian-era harbour town, lavender fields, vineyards and nearby islets.",/api/placeholder.svg?t=Hvar&s=Croatia,60
Beijing,China,"China's capital for most of the last six centuries, home to the Forbidden City, grand imperial parks and hutong lanes, with the Great Wall within a short drive to the north.",/api/placeholder.svg?t=Beijing&s=China,61
Xi'an,China,"Former capital of thirteen dynasties and the eastern end of the Silk Road, with intact Ming city walls, a historic Muslim quarter and the Terracotta Army on its outskirts.",/api/placeholder.svg?t=Xi'an&s=China,62
Guilin,China,"A city in southern Guangxi set among limestone karst peaks, and the starting point for cruises down the Li River to the riverside town of Yangshuo.",/api/placeholder.svg?t=Guilin&s=China,63
Bali,Indonesia,"A Hindu island within mostly Muslim Indonesia, known for temple ceremonies, terraced rice fields around Ubud and dramatic cliffs on the southern Bukit peninsula.",/api/placeholder.svg?t=Bali&s=Indonesia,64
Yogyakarta,Indonesia,"Central Java's cultural capital, home to a working sultan's palace, batik workshops and gamelan music, and the base for visiting Borobudur and Prambanan.",/api/placeholder.svg?t=Yogyakarta&s=Indonesia,65
Labuan Bajo,Indonesia,"A harbour town on the western tip of Flores and the gateway to Komodo National Park, where traditional phinisi boats set out for the islands.",/api/placeholder.svg?t=Labuan%20Bajo&s=Indonesia,66
Ha Long Bay,Vietnam,"A bay in northeast Vietnam scattered with limestone islands, best explored by overnight cruise, with the quieter waters of Lan Ha Bay to its south.",/api/placeholder.svg?t=Ha%20Long%20Bay&s=Vietnam,67
Hoi An,Vietnam,"A former trading port on the Thu Bon River whose lantern-hung old town, tailors and nearby beaches make it the easiest place in Vietnam to slow down.",/api/placeholder.svg?t=Hoi%20An&s=Vietnam,68
Hanoi,Vietnam,"Vietnam's capital, a city of lakes, tree-lined French-era boulevards and a dense old merchant quarter where street food is part of daily life.",/api/placeholder.svg?t=Hanoi&s=Vietnam,69
Hue,Vietnam,"The seat of the Nguyen emperors from 1802 to 1945, set on the Perfume River with a walled citadel and royal tombs in the hills beyond.",/api/placeholder.svg?t=Hue&s=Vietnam,70
Seoul,South Korea,"A capital of ten million people where five Joseon palaces, traditional hanok neighbourhoods and mountain trails sit among glass towers and late-night food streets.",/api/placeholder.svg?t=Seoul&s=South%20Korea,71
Jeju Island,South Korea,"A volcanic island off Korea's southern coast, shaped by Hallasan, the country's highest peak, with lava tubes, crater cones and a rugged coastline.",/api/placeholder.svg?t=Jeju%20Island&s=South%20Korea,72
Gyeongju,South Korea,"Capital of the Silla kingdom for nearly a thousand years, often called a museum without walls for its royal burial mounds, temples and ruins.",/api/placeholder.svg?t=Gyeongju&s=South%20Korea,73
Marina Bay,Singapore,"Singapore's waterfront centre, built largely on reclaimed land, where Marina Bay Sands, Gardens by the Bay and the colonial civic district meet around the water.",/api/placeholder.svg?t=Marina%20Bay&s=Singapore,74
Sentosa,Singapore,"A resort island just off Singapore's southern shore with beaches, theme parks, golf and several of the city's quieter luxury hotels.",/api/placeholder.svg?t=Sentosa&s=Singapore,75
North Malé Atoll,Maldives,"The atoll closest to the capital and the international airport, home to many of the Maldives' established resorts, surf breaks and classic dive sites.",/api/placeholder.svg?t=North%20Mal%C3%A9%20Atoll&s=Maldives,76
Baa Atoll,Maldives,"A UNESCO Biosphere Reserve in the northwest of the country, known for healthy reefs and the seasonal manta ray gatherings at Hanifaru Bay.",/api/placeholder.svg?t=Baa%20Atoll&s=Maldives,77
Ari Atoll,Maldives,"A large atoll west of Malé with some of the country's best diving, including a marine protected area where whale sharks are seen all year.",/api/placeholder.svg?t=Ari%20Atoll&s=Maldives,78
Sigiriya,Sri Lanka,"A village in the Cultural Triangle, the dry central plains that hold Sri Lanka's ancient capitals, cave temples and great reservoirs.",/api/placeholder.svg?t=Sigiriya&s=Sri%20Lanka,79
Kandy,Sri Lanka,"The last royal capital of Sri Lanka's kings, set around a lake in the central hills and home to the island's most revered Buddhist temple.",/api/placeholder.svg?t=Kandy&s=Sri%20Lanka,80
Ella,Sri Lanka,"A small town in the southern hill country, surrounded by tea estates and ridges, and one of the most scenic stops on the upland railway.",/api/placeholder.svg?t=Ella&s=Sri%20Lanka,81
Galle,Sri Lanka,"A port on the southwest coast whose walled fort encloses a living town of Dutch-era houses, churches, boutique hotels and cafés.",/api/placeholder.svg?t=Galle&s=Sri%20Lanka,82
Tbilisi,Georgia,"Georgia's capital climbs the banks of the Mtkvari river, with balconied wooden houses, sulphur baths and a fortress above the old town.",/api/placeholder.svg?t=Tbilisi&s=Georgia,83
Mtskheta,Georgia,"The ancient capital and spiritual heart of Georgia, set where the Aragvi and Mtkvari rivers meet, about 20 kilometres north of Tbilisi.",/api/placeholder.svg?t=Mtskheta&s=Georgia,84
Greater Caucasus,Georgia,"Georgia's high mountain country, from Kazbegi on the Georgian Military Road to the tower villages of Upper Svaneti in the north-west.",/api/placeholder.svg?t=Greater%20Caucasus&s=Georgia,85
Kakheti,Georgia,"Georgia's eastern wine region, a broad valley of vineyards and monasteries beneath the Caucasus, centred on the hill town of Sighnaghi.",/api/placeholder.svg?t=Kakheti&s=Georgia,86
Baku,Azerbaijan,"The Caspian capital of Azerbaijan, where a walled old city sits beside a long seafront boulevard and some of the Caucasus's boldest modern architecture.",/api/placeholder.svg?t=Baku&s=Azerbaijan,87
Gobustan,Azerbaijan,"A dry, rocky stretch of coast south-west of Baku, known for ancient rock carvings and the bubbling mud volcanoes nearby.",/api/placeholder.svg?t=Gobustan&s=Azerbaijan,88
Sheki,Azerbaijan,"A historic silk town in the forested foothills of the Greater Caucasus, with caravanserais, craft workshops and an eighteenth-century khan's palace.",/api/placeholder.svg?t=Sheki&s=Azerbaijan,89
Gabala,Azerbaijan,"A mountain resort town in northern Azerbaijan, with forests, lakes, waterfalls and cable cars into the Greater Caucasus.",/api/placeholder.svg?t=Gabala&s=Azerbaijan,90
Samarkand,Uzbekistan,"Timur's capital and the most famous Silk Road city, with monumental tiled squares, mausoleums and observatory ruins from the fourteenth and fifteenth centuries.",/api/placeholder.svg?t=Samarkand&s=Uzbekistan,91
Bukhara,Uzbekistan,"A compact, walkable holy city of mosques, madrasas, trading domes and a citadel, lived in continuously for more than two thousand years.",/api/placeholder.svg?t=Bukhara&s=Uzbekistan,92
Khiva,Uzbekistan,"A desert oasis town in western Uzbekistan whose walled inner city survives almost complete, a short drive from Urgench.",/api/placeholder.svg?t=Khiva&s=Uzbekistan,93
