attraction_slug,category_slug,displayOrder
li-river-cruise,mountain-wilderness,1
li-river-cruise,active-lifestyle,2
ubud-tegallalang-rice-terraces,architecture-history,1
ubud-tegallalang-rice-terraces,relaxation-spa,2
ubud-tegallalang-rice-terraces,active-lifestyle,3
uluwatu-temple,architecture-history,1
uluwatu-temple,island-coast,2
borobudur,architecture-history,1
komodo-national-park,expedition-cruising,1
komodo-national-park,island-coast,2
ha-long-bay,expedition-cruising,1
ha-long-bay,island-coast,2
hoi-an-ancient-town,architecture-history,1
hanoi-old-quarter,architecture-history,1
hue-imperial-city,architecture-history,1
gyeongbokgung-palace,architecture-history,1
bukchon-hanok-village,architecture-history,1
jeju-island,island-coast,1
jeju-island,mountain-wilderness,2
gyeongju-historic-areas,architecture-history,1
gardens-by-the-bay,family-fun,1
gardens-by-the-bay,architecture-history,2
marina-bay-waterfront,architecture-history,1
marina-bay-waterfront,family-fun,2
sentosa-island,family-fun,1
sentosa-island,island-coast,2
north-male-atoll-resorts,relaxation-spa,1
north-male-atoll-resorts,island-coast,2
hanifaru-bay,island-coast,1
hanifaru-bay,expedition-cruising,2
ari-atoll-whale-sharks,island-coast,1
ari-atoll-whale-sharks,expedition-cruising,2
sigiriya-rock-fortress,architecture-history,1
sigiriya-rock-fortress,mountain-wilderness,2
temple-of-the-tooth-kandy,architecture-history,1
ella-nine-arches-hill-country-train,rail-road,1
ella-nine-arches-hill-country-train,mountain-wilderness,2
galle-fort,architecture-history,1
galle-fort,island-coast,2
tbilisi-old-town-sulphur-baths,architecture-history,1
tbilisi-old-town-sulphur-baths,relaxation-spa,2
mtskheta-svetitskhoveli-jvari,architecture-history,1
gergeti-trinity-church-kazbegi,mountain-wilderness,1
gergeti-trinity-church-kazbegi,architecture-history,2
upper-svaneti-mestia-ushguli,mountain-wilderness,1
upper-svaneti-mestia-ushguli,architecture-history,2
sighnaghi-kakheti-wine-country,architecture-history,1
sighnaghi-kakheti-wine-country,relaxation-spa,2
baku-old-city-icherisheher,architecture-history,1
baku-flame-towers-boulevard,architecture-history,1
baku-flame-towers-boulevard,family-fun,2
gobustan-rock-art-mud-volcanoes,architecture-history,1
gobustan-rock-art-mud-volcanoes,mountain-wilderness,2
sheki-khans-palace,architecture-history,1
gabala-mountain-resort,mountain-wilderness,1
gabala-mountain-resort,relaxation-spa,2
samarkand-registan,architecture-history,1
samarkand-shah-i-zinda,architecture-history,1
bukhara-old-city,architecture-history,1
khiva-itchan-kala,architecture-history,1
